word	items.a	items.b	items.g	items.u	means	F1
1	about	1.33309285528063	0.4517251080609	0	1	0	1
2	above	0.608653802293945	2.83189070393947	0	1	0	1
3	after	0.40636580364655	0.0200727995988405	0	1	0	1
4	airplane	5.44774548731219	-0.0497909231967386	0	1	0	1
5	all	44.752991794233	-0.198857265911343	0	1	0	1
6	alligator	0.664501935973174	-0.421475727715253	0	1	0	1
7	animal	1.04515041331419	1.72568466728137	0	1	0	1
8	ankle	5.31659441575874	0.311867999363283	0	1	0	1
9	another	1.00196978863346	-1.30081455844719	0	1	0	1
10	ant	1.25030005144528	0.236031840021043	0	1	0	1
11	any	7.71794164038731	0.194793126543627	0	1	0	1
12	apple	0.506962091902222	-0.536764833210074	0	1	0	1
13	applesauce	0.506962091492284	-0.536764833594599	0	1	0	1
14	arm	2.34439213247287	0.00452692876579383	0	1	0	1
15	around	9.21885843330907	1.33244959207348	0	1	0	1
16	asleep	9.21885843330907	1.33244959207348	0	1	0	1
17	at	1.60376496358748	-0.832933987503882	0	1	0	1
18	aunt	7.25109873446029	0.0862534334018603	0	1	0	1
19	awake	2.82219630171751	0.232686503623246	0	1	0	1
20	away	0.744213361994061	-1.2144915645725	0	1	0	1
21	baby	5.31659450089987	0.31186799628855	0	1	0	1
22	babysitter	1.25030008912986	0.236031833269493	0	1	0	1
23	back	0.732646512404204	2.40245790909986	0	1	0	1
24	backyard	9.21885843330907	1.33244959207348	0	1	0	1
25	bad	0.41679940981886	2.09834837570676	0	1	0	1
26	ball	0.803924274546886	-2.17640954907562	0	1	0	1
27	balloon	1.25490774445391	2.06210479320717	0	1	0	1
28	banana	0.649521560897023	0.00714177623093731	0	1	0	1
29	basement	10.6644292904443	0.133581663461553	0	1	0	1
30	basket	1.25490774445391	2.06210479320717	0	1	0	1
31	bat	0.915320748547851	-1.00137583357756	0	1	0	1
32	bath	9.21885843330914	1.33244959207347	0	1	0	1
33	bathroom	0.515699321927445	-1.69247505279797	0	1	0	1
34	bathtub	4.08985974868245	-0.51530641411622	0	1	0	1
35	beach	3.50524930818405	0.30126386455184	0	1	0	1
36	beads	0.496219295763739	0.0139206527115351	0	1	0	1
37	beans	0.744213356599876	-1.21449157268621	0	1	0	1
38	bear	0.803357868994828	0.362043950778438	0	1	0	1
39	bed	0.531524052257064	-1.05996467599638	0	1	0	1
40	bedroom	5.74654402209899	-0.202550868189747	0	1	0	1
41	bee	1.25490774445391	2.06210479320717	0	1	0	1
42	before	0.37560019500383	0.747023820872948	0	1	0	1
43	behind	9.21885843330914	1.33244959207347	0	1	0	1
44	belt	0.496219295763739	0.0139206527115351	0	1	0	1
45	bench	0.863158987359506	2.90022060822042	0	1	0	1
46	beside	0.802871365487821	0.00375804678851479	0	1	0	1
47	better	5.44774548731275	-0.0497909231967308	0	1	0	1
48	bib	10.7109828844128	0.0438761308688034	0	1	0	1
49	bicycle	34.0839691195878	0.247256830705875	0	1	0	1
50	big	1.51041227515815	0.623867850270537	0	1	0	1
51	bird	4.08985984453107	-0.515306405610786	0	1	0	1
52	bite	3.01270453234657	0.64387254896479	0	1	0	1
53	black	9.21885843330916	1.33244959207347	0	1	0	1
54	blanket	40.9174087567482	-0.00993207222204033	0	1	0	1
55	block	0.69838436272936	1.30536869481911	0	1	0	1
56	blow	8.0107436763165	-0.0858759451115314	0	1	0	1
57	blue	0.538547260164905	2.33187436074706	0	1	0	1
58	boat	0.559713385610624	0.0105909243324381	0	1	0	1
59	book	8.67737936346215	-0.0172204687923816	0	1	0	1
60	boots	1.04515041331419	1.72568466728137	0	1	0	1
61	bottle	0.82059496126231	-0.347322250574313	0	1	0	1
62	bowl	0.576281921644554	1.00907628714598	0	1	0	1
63	box	1.25490774445391	2.06210479320717	0	1	0	1
64	boy	26.0803452896742	-0.373437315911315	0	1	0	1
65	bread	10.710983733928	0.0438761333721727	0	1	0	1
66	break.	0.708484231919125	-1.79058219888046	0	1	0	1
67	breakfast	0.73264650885598	2.40245791959982	0	1	0	1
68	bring	0.576281921644554	1.00907628714598	0	1	0	1
69	broken	45.3395427609056	0.184730401664242	0	1	0	1
70	broom	0.459150261208884	2.68813502783795	0	1	0	1
71	brother	7.25109873450468	0.0862534334018853	0	1	0	1
72	brown	9.21885843330914	1.33244959207347	0	1	0	1
73	brush	9.21885843330916	1.33244959207347	0	1	0	1
74	bubbles	3.01270453113874	0.643872549185581	0	1	0	1
75	bucket	5.38767599043474	-0.126644153278312	0	1	0	1
76	bug	0.751776408743779	1.71810342419647	0	1	0	1
77	build	9.21885843330917	1.33244959207347	0	1	0	1
78	bump	0.449744906761675	0.631823609957494	0	1	0	1
79	bunny	0.751776413994611	1.71810341295902	0	1	0	1
80	bus	0.531524052257064	-1.05996467599638	0	1	0	1
81	butter	0.751776414877475	1.7181034110696	0	1	0	1
82	butterfly	9.21885843330914	1.33244959207347	0	1	0	1
83	button	15.0345829462593	0.0926609250576929	0	1	0	1
84	buy	0.863158988016283	2.90022060632308	0	1	0	1
85	by	0.751776413994611	1.71810341295902	0	1	0	1
86	bye	0.55971338507266	0.0105909243572995	0	1	0	1
87	cake	0.559713385603311	0.0105909243327768	0	1	0	1
88	call	1.25490774445391	2.06210479320717	0	1	0	1
89	camera	0.656233292122558	1.94904776742904	0	1	0	1
90	camping	0.863158988016283	2.90022060632308	0	1	0	1
91	candy	0.493202993711574	1.80159275170419	0	1	0	1
92	car	0.665617135867636	0.880604292830727	0	1	0	1
93	careful	2.34439213234324	0.00452692876531485	0	1	0	1
94	carrots	9.21885843330916	1.33244959207347	0	1	0	1
95	carry	8.30666783751049	-0.157807862816669	0	1	0	1
96	cat	7.25109944703915	0.0862534338030668	0	1	0	1
97	catch	0.803357867380996	0.362043951488025	0	1	0	1
98	cereal	33.9178541097607	0.247489530307801	0	1	0	1
99	chair	0.803357868994828	0.362043950778438	0	1	0	1
100	chalk	7.71794084967747	0.194793133362964	0	1	0	1
101	chase	1.37868184064521	-1.8804698217001	0	1	0	1
102	cheek	1.25490774445391	2.06210479320717	0	1	0	1
103	cheerios	0.863158987359506	2.90022060822042	0	1	0	1
104	cheese	0.60865380265066	2.83189070249041	0	1	0	1
105	child	2.82219630189622	0.232686503611726	0	1	0	1
106	chin	0.608653804772624	2.83189069387012	0	1	0	1
107	chocolate	38.3886795399414	0.218077756727914	0	1	0	1
108	church	9.21885843330914	1.33244959207347	0	1	0	1
109	circus	0.835007986541812	2.13176452476284	0	1	0	1
110	clap	0.606908603505068	1.48878357302717	0	1	0	1
111	climb	1.25490774445391	2.06210479320717	0	1	0	1
112	clock	0.835007992257463	2.1317645112583	0	1	0	1
113	close	1.04515041331419	1.72568466728137	0	1	0	1
114	closet	0.920187568219045	-1.9281190601389	0	1	0	1
115	cloud	5.31659450111203	0.311867996280889	0	1	0	1
116	clown	40.9174121944388	-0.00993207137199482	0	1	0	1
117	coat	2.49494165807454	0.128836617300814	0	1	0	1
118	coffee	1.25490774445391	2.06210479320717	0	1	0	1
119	coke	1.90621025202872	0.70906630773095	0	1	0	1
120	cold	1.25490774445391	2.06210479320717	0	1	0	1
121	comb	38.4486251625871	0.218049313235205	0	1	0	1
122	cook	1.25490774445391	2.06210479320717	0	1	0	1
