> normal_prior <- 'F = 1-586
+ PRIOR = (1-586, a1, norm, 2.6, 1)' 
> normal_model <- mirt.model(normal_prior)
> twoPL_run16_29_models_all_words_normal_prior <- mirt(lang_acq_run16_29_models_all_words_tsv, normal_model)
Iteration: 312, Log-Lik: -2944.268, Max-Change: 0.00010
> coef( twoPL_run16_29_models_all_words_normal_prior, IRTpars=TRUE, simplify = TRUE)
$items
                 a      b g u
gentle       2.675  1.339 0 1
get          2.746 -1.187 0 1
giraffe      2.643  3.481 0 1
girl         2.683 -0.156 0 1
give         3.476 -0.497 0 1
glass        2.533  1.365 0 1
glasses      2.643  3.481 0 1
gloves       2.643  3.481 0 1
glue         2.643  3.481 0 1
go           3.302 -1.367 0 1
good         3.039 -0.495 0 1
goose        2.643  3.481 0 1
grandma      2.264  1.811 0 1
grandpa      2.264  1.811 0 1
grapes       2.643  3.481 0 1
grass        2.643  3.481 0 1
green        2.402  0.730 0 1
grrr         2.643  3.481 0 1
gum          1.638  2.178 0 1
hair         2.575  0.540 0 1
hamburger    2.643  3.481 0 1
hammer       1.929  1.534 0 1
hand         2.175  0.024 0 1
happy        3.225  0.013 0 1
hard         3.417  0.184 0 1
hat          3.005  1.292 0 1
hate         1.736  0.611 0 1
have         2.679 -1.006 0 1
he           2.679 -1.006 0 1
head         2.867  0.014 0 1
hear         3.288 -0.158 0 1
heavy        2.674  1.339 0 1
helicopter   2.643  3.481 0 1
hello        0.908  2.051 0 1
help         3.458 -0.329 0 1
hen          2.800  1.646 0 1
her          2.661 -1.006 0 1
here         2.937  0.358 0 1
hers         2.800  1.646 0 1
hi           1.857  1.259 0 1
hide         2.674  1.339 0 1
high         2.436  1.748 0 1
him          3.420 -0.158 0 1
his          2.803 -0.829 0 1
hit          2.470  0.191 0 1
hold         2.579  0.190 0 1
home         2.805  0.360 0 1
horse        1.758  1.037 0 1
hose         2.643  3.481 0 1
hot          2.025  0.028 0 1
house        3.356  0.013 0 1
how          2.855 -0.326 0 1
hug          2.260  0.022 0 1
hungry       3.012  1.292 0 1
hurry        2.499  1.123 0 1
hurt         2.299  0.738 0 1
ice          3.420 -0.158 0 1
inside       3.207  0.528 0 1
into         3.055 -1.174 0 1
it           2.663 -0.832 0 1
jacket       2.643  3.481 0 1
jar          2.643  3.481 0 1
jeans        3.099  0.876 0 1
jello        2.643  3.481 0 1
jelly        2.643  3.481 0 1
juice        2.503  1.122 0 1
jump         1.736  0.611 0 1
keys         2.643  3.481 0 1
kick         2.522  1.367 0 1
kiss         2.928  0.358 0 1
kitchen      2.696  0.361 0 1
kitty        2.643  3.481 0 1
knee         2.792  1.648 0 1
knife        2.810  0.891 0 1
knock        2.164  0.561 0 1
ladder       2.264  1.811 0 1
lady         1.857  1.259 0 1
lamb         2.643  3.481 0 1
lamp         2.643  3.481 0 1
last         3.039 -0.495 0 1
later        2.792  1.648 0 1
leg          2.675  1.339 0 1
lick         1.130  2.812 0 1
light        2.947  0.883 0 1
like         2.661 -0.495 0 1
lion         2.643  3.481 0 1
lips         2.943  1.076 0 1
listen       1.202  0.549 0 1
little       2.899 -0.157 0 1
lollipop     2.643  3.481 0 1
long         3.060 -0.495 0 1
look         2.083 -0.496 0 1
loud         2.811  0.891 0 1
love         2.544  0.017 0 1
lunch        2.910  0.706 0 1
mad          2.057  0.570 0 1
mailman      2.643  3.481 0 1
make         2.556 -0.835 0 1
man          1.970  0.209 0 1
me           2.723 -1.004 0 1
meat         2.299  0.738 0 1
medicine     2.643  3.481 0 1
melon        2.643  3.481 0 1
meow         2.643  3.481 0 1
milk         1.934  1.531 0 1
mine         2.503  1.122 0 1
mittens      2.643  3.481 0 1
mommy        2.643  3.481 0 1
money        3.062  0.357 0 1
monkey       2.643  3.481 0 1
moo          2.643  3.481 0 1
moon         2.227  1.167 0 1
moose        2.643  3.481 0 1
mop          2.643  3.481 0 1
more         2.799 -0.156 0 1
morning      2.910 -0.495 0 1
motorcycle   2.792  1.648 0 1
mouse        2.643  3.481 0 1
mouth        3.458 -0.329 0 1
movie        2.522  1.367 0 1
much         2.986 -0.826 0 1
muffin       2.643  3.481 0 1
my           2.574 -0.664 0 1
myself       3.250  0.871 0 1
nail         1.638  2.178 0 1
nap          2.402  0.730 0 1
napkin       2.643  3.481 0 1
naughty      2.643  3.481 0 1
necklace     2.643  3.481 0 1
new          2.500 -0.325 0 1
nice         3.356  0.013 0 1
night        3.320 -0.328 0 1
no           1.209  2.680 0 1
noisy        2.643  3.481 0 1
none         3.109  0.013 0 1
noodles      2.643  3.481 0 1
nose         3.005  1.292 0 1
not          2.749 -0.662 0 1
now          2.104  1.192 0 1
nurse        2.643  3.481 0 1
nuts         2.264  1.811 0 1
of           2.744 -1.386 0 1
off          2.685  0.188 0 1
old          2.983  0.014 0 1
on           2.746 -1.187 0 1
open         1.674  1.063 0 1
other        2.679 -1.006 0 1
ouch         2.643  3.481 0 1
our          2.789 -0.495 0 1
out          2.746 -1.187 0 1
outside      2.937  1.077 0 1
oven         2.785  1.090 0 1
over         3.026  0.185 0 1
owl          2.643  3.481 0 1
paint        3.012  1.292 0 1
pajamas      2.643  3.481 0 1
pancake      2.643  3.481 0 1
pants        3.260  1.054 0 1
paper        2.222  1.437 0 1
