> model <- 'F = 1-587
+ CONSTRAIN = (1-587, a1)'
> model
[1] "F = 1-587\nCONSTRAIN = (1-587, a1)"
> twoPL_run10_equal_slopes <- mirt(lang_acq_run10_all_words_tsv, model)
Iteration: 25, Log-Lik: -1812.714, Max-Change: 0.00005
> coef(twoPL_run10_equal_slopes, IRTpars = TRUE, simplify=TRUE)
$items
                 a      b g u
get          3.149 -1.507 0 1
giraffe      3.149  2.975 0 1
girl         3.149 -0.187 0 1
give         3.149 -1.118 0 1
glass        3.149  0.733 0 1
glasses      3.149  1.393 0 1
gloves       3.149  1.393 0 1
glue         3.149  2.975 0 1
go           3.149 -0.762 0 1
good         3.149 -0.762 0 1
goose        3.149  2.975 0 1
grandma      3.149  0.907 0 1
grandpa      3.149  1.393 0 1
grapes       3.149  2.975 0 1
grass        3.149  1.109 0 1
green        3.149  0.907 0 1
grrr         3.149  2.975 0 1
gum          3.149  2.975 0 1
hair         3.149  0.029 0 1
hamburger    3.149  1.393 0 1
hammer       3.149  1.393 0 1
hand         3.149 -0.443 0 1
happy        3.149  0.400 0 1
hard         3.149 -0.443 0 1
hat          3.149  0.733 0 1
hate         3.149  0.029 0 1
have         3.149 -2.499 0 1
he           3.149 -1.118 0 1
head         3.149 -0.187 0 1
hear         3.149 -0.443 0 1
heavy        3.149  0.733 0 1
helicopter   3.149  2.975 0 1
hello        3.149  1.393 0 1
help         3.149 -0.762 0 1
hen          3.149  2.975 0 1
her          3.149 -1.507 0 1
here         3.149  0.223 0 1
hers         3.149  2.975 0 1
hi           3.149  0.907 0 1
hide         3.149  0.733 0 1
high         3.149  0.568 0 1
him          3.149 -0.443 0 1
his          3.149 -2.499 0 1
hit          3.149  0.400 0 1
hold         3.149  0.400 0 1
home         3.149  0.029 0 1
horse        3.149  1.393 0 1
hose         3.149  2.975 0 1
hot          3.149  0.733 0 1
house        3.149 -0.187 0 1
how          3.149 -0.443 0 1
hug          3.149  0.400 0 1
hungry       3.149  0.907 0 1
hurry        3.149  0.568 0 1
hurt         3.149  0.568 0 1
I            3.149 -1.118 0 1
ice          3.149 -0.443 0 1
inside       3.149  0.223 0 1
into         3.149 -2.499 0 1
it           3.149 -0.762 0 1
jacket       3.149  1.393 0 1
jar          3.149  1.393 0 1
jeans        3.149  0.907 0 1
jello        3.149  2.975 0 1
jelly        3.149  1.109 0 1
juice        3.149  0.907 0 1
jump         3.149  0.568 0 1
keys         3.149  2.975 0 1
kick         3.149  1.109 0 1
kiss         3.149  0.568 0 1
kitchen      3.149  0.400 0 1
kitty        3.149  2.975 0 1
knee         3.149  0.907 0 1
knife        3.149  0.907 0 1
knock        3.149  0.568 0 1
ladder       3.149  1.109 0 1
lady         3.149  1.109 0 1
lamb         3.149  2.975 0 1
lamp         3.149  2.975 0 1
last         3.149 -1.118 0 1
later        3.149  1.109 0 1
leg          3.149  1.109 0 1
lick         3.149  2.975 0 1
light        3.149  0.733 0 1
like         3.149 -1.118 0 1
lion         3.149  2.975 0 1
lips         3.149  0.733 0 1
listen       3.149  0.029 0 1
little       3.149 -1.507 0 1
lollipop     3.149  2.975 0 1
long         3.149 -1.118 0 1
look         3.149 -0.762 0 1
loud         3.149  0.907 0 1
love         3.149 -0.762 0 1
lunch        3.149  0.568 0 1
mad          3.149  0.029 0 1
mailman      3.149  2.975 0 1
make         3.149 -0.762 0 1
man          3.149  0.029 0 1
me           3.149 -2.499 0 1
meat         3.149  1.109 0 1
medicine     3.149  2.975 0 1
melon        3.149  2.975 0 1
meow         3.149  2.975 0 1
milk         3.149  0.907 0 1
