> lognormal_prior <- 'F = 1-587
+ PRIOR = (1-587, a1, lnorm, 0, 1)' 
> lognormal_model <- mirt.model(lognormal_prior)
> twoPL_run10_lognormal_prior <- mirt(lang_acq_run10_all_words_tsv, lognormal_model)
Iteration: 47, Log-Lik: -2364.533, Max-Change: 0.00004
> coef(twoPL_run10_lognormal_prior, IRTpars = TRUE, simplify = TRUE)
$items
                 a       b g u
garbage      0.965   4.562 0 1
garden       0.722   3.202 0 1
gentle       0.754  -0.034 0 1
get          0.432  -7.183 0 1
giraffe      0.965   4.562 0 1
girl         1.336  -2.382 0 1
give         1.156  -4.816 0 1
glass        0.599   0.755 0 1
glasses      0.653   3.419 0 1
gloves       0.722   3.202 0 1
glue         0.965   4.562 0 1
go           1.627  -3.946 0 1
good         0.770  -4.109 0 1
goose        0.965   4.562 0 1
grandma      1.253   0.952 0 1
grandpa      0.947   2.702 0 1
grapes       0.965   4.562 0 1
grass        1.364   1.474 0 1
green        0.308   2.921 0 1
grrr         0.965   4.562 0 1
gum          0.965   4.562 0 1
hair         0.711  -1.933 0 1
hamburger    0.947   2.702 0 1
hammer       0.947   2.702 0 1
hand         1.233  -3.123 0 1
happy        1.745  -0.543 0 1
hard         1.199  -3.133 0 1
hat          0.637   0.705 0 1
hate         0.763  -1.908 0 1
have         0.700  -7.408 0 1
he           1.108  -4.819 0 1
head         1.281  -2.394 0 1
hear         1.243  -3.120 0 1
heavy        0.434   1.118 0 1
helicopter   0.965   4.562 0 1
hello        0.947   2.702 0 1
help         1.627  -3.946 0 1
hen          0.965   4.562 0 1
her          0.807  -5.869 0 1
here         0.648  -1.295 0 1
hers         0.965   4.562 0 1
hi           0.423   2.113 0 1
hide         0.523   0.886 0 1
high         0.845  -0.057 0 1
him          1.199  -3.133 0 1
his          0.700  -7.408 0 1
hit          0.990  -0.629 0 1
hold         0.719  -0.646 0 1
home         0.741  -1.918 0 1
horse        0.813   2.969 0 1
hose         0.965   4.562 0 1
hot          0.673   0.665 0 1
house        1.292  -2.391 0 1
how          1.243  -3.120 0 1
hug          0.603  -0.631 0 1
hungry       0.447   2.002 0 1
hurry        0.625   0.029 0 1
hurt         0.521   0.126 0 1
I            0.176 -10.150 0 1
ice          1.233  -3.123 0 1
inside       0.590  -1.308 0 1
into         0.700  -7.408 0 1
it           1.627  -3.946 0 1
jacket       0.722   3.202 0 1
jar          0.628   3.508 0 1
jeans        1.030   1.039 0 1
jello        0.965   4.562 0 1
jelly        0.853   1.892 0 1
juice        0.572   1.591 0 1
jump         2.172  -0.032 0 1
keys         0.965   4.562 0 1
kick         0.549   2.604 0 1
kiss         0.605   0.044 0 1
kitchen      1.331  -0.586 0 1
kitty        0.965   4.562 0 1
knee         1.704   0.876 0 1
knife        0.528   1.709 0 1
knock        0.779  -0.041 0 1
ladder       0.756   2.051 0 1
lady         0.756   2.051 0 1
lamb         0.965   4.562 0 1
lamp         0.965   4.562 0 1
last         0.399  -6.056 0 1
later        0.866   1.873 0 1
leg          0.756   2.051 0 1
lick         0.965   4.562 0 1
light        0.603   0.749 0 1
like         1.108  -4.819 0 1
lion         0.965   4.562 0 1
lips         0.787   0.570 0 1
listen       0.596  -1.998 0 1
little       0.839  -5.829 0 1
lollipop     0.965   4.562 0 1
long         1.156  -4.816 0 1
look         0.600  -4.308 0 1
loud         0.441   2.030 0 1
love         1.627  -3.946 0 1
lunch        1.161  -0.076 0 1
mad          1.940  -1.684 0 1
mailman      0.965   4.562 0 1
make         0.730  -4.142 0 1
man          0.644  -1.969 0 1
me           0.700  -7.408 0 1
meat         1.364   1.474 0 1
medicine     0.965   4.562 0 1
melon        0.965   4.562 0 1
meow         0.965   4.562 0 1
milk         0.716   1.318 0 1
mine         0.423   2.113 0 1
mittens      0.965   4.562 0 1
mommy        0.947   2.702 0 1
money        1.000  -1.816 0 1
monkey       0.965   4.562 0 1
moo          0.965   4.562 0 1
moon         0.525   2.696 0 1
moose        0.965   4.562 0 1
mop          0.965   4.562 0 1
more         1.627  -3.946 0 1
morning      1.627  -3.946 0 1
motorcycle   0.965   4.562 0 1
mouse        0.722   3.202 0 1
mouth        0.653  -3.418 0 1
movie        0.723   0.618 0 1
much         0.807  -5.869 0 1
muffin       0.965   4.562 0 1
my           0.700  -7.408 0 1
myself       1.336  -2.382 0 1
nail         0.965   4.562 0 1
nap          1.161  -0.076 0 1
napkin       0.965   4.562 0 1
naughty      0.947   2.702 0 1
necklace     0.965   4.562 0 1
new          0.455  -5.728 0 1
nice         1.482  -0.569 0 1
night        1.627  -3.946 0 1
no           0.965   4.562 0 1
noisy        0.965   4.562 0 1
none         0.591  -2.002 0 1
noodles      0.965   4.562 0 1
nose         0.655   2.274 0 1
not          0.967  -5.714 0 1
now          0.653   3.419 0 1
nurse        0.965   4.562 0 1
nuts         0.965   4.562 0 1
of           0.700  -7.408 0 1
off          1.233  -3.123 0 1
old          1.281  -2.394 0 1
on           0.700  -7.408 0 1
open         0.477   0.995 0 1
other        0.305  -6.969 0 1
ouch         0.965   4.562 0 1
our          0.781  -4.101 0 1
out          0.730  -4.142 0 1
outside      0.965   4.562 0 1
oven         0.644   0.696 0 1
over         1.627  -3.946 0 1
owl          0.965   4.562 0 1
paint        0.960   1.080 0 1
pajamas      0.965   4.562 0 1
pancake      0.965   4.562 0 1
pants        1.783   0.417 0 1
paper        0.389   2.294 0 1
park         0.994  -1.205 0 1
party        1.783   0.417 0 1
pattycake    0.965   4.562 0 1
peas         0.947   2.702 0 1
peekaboo     0.965   4.562 0 1
pen          0.813   2.969 0 1
pencil       0.813   2.969 0 1
penguin      0.965   4.562 0 1
penis        0.965   4.562 0 1
penny        0.965   4.562 0 1
people       0.407  -3.009 0 1
person       1.233  -3.123 0 1
pick         1.627  -3.946 0 1
pickle       0.965   4.562 0 1
picnic       1.138   0.990 0 1
picture      0.365   0.440 0 1
pig          0.965   4.562 0 1
pillow       0.965   4.562 0 1
pizza        0.965   4.562 0 1
plant        0.965   4.562 0 1
plate        0.655   2.274 0 1
play         1.292  -2.391 0 1
playground   0.965   4.562 0 1
please       0.756   1.266 0 1
police       1.336  -2.382 0 1
pony         0.965   4.562 0 1
pool         0.708   0.631 0 1
poor         0.682   2.206 0 1
popcorn      0.965   4.562 0 1
popsicle     0.965   4.562 0 1
porch        0.601   2.425 0 1
potato       0.965   4.562 0 1
potty        0.965   4.562 0 1
pour         0.653   3.419 0 1
present      0.720   2.122 0 1
pretend      0.457   1.959 0 1
pretty       0.913  -1.845 0 1
pretzel      0.965   4.562 0 1
pudding      0.965   4.562 0 1
pull         0.596  -0.630 0 1
pumpkin      0.965   4.562 0 1
puppy        0.965   4.562 0 1
purse        0.965   4.562 0 1
push         0.549   2.604 0 1
put          1.233  -3.123 0 1
puzzle       0.965   4.562 0 1
quiet        0.445   2.012 0 1
radio        0.722   3.202 0 1
rain         1.076   0.460 0 1
raisin       0.965   4.562 0 1
read         1.336  -2.382 0 1
red          0.515   0.903 0 1
refrigerator 0.965   4.562 0 1
ride         1.940  -1.684 0 1
rip          0.965   4.562 0 1
rock         0.653   3.419 0 1
roof         1.704   0.876 0 1
room         0.525   0.883 0 1
rooster      0.965   4.562 0 1
run          0.756  -0.647 0 1
sad          1.364   1.474 0 1
salt         0.573   0.071 0 1
same         1.156  -4.816 0 1
sandbox      0.965   4.562 0 1
sandwich     1.024   1.694 0 1
sauce        1.005   0.476 0 1
say          0.835  -3.276 0 1
scared       1.022  -0.075 0 1
scarf        0.836   1.178 0 1
school       1.940  -1.684 0 1
scissors     0.965   4.562 0 1
see          0.781  -4.101 0 1
shake        0.459  -2.902 0 1
share        0.402   1.232 0 1
she          0.318  -6.813 0 1
sheep        0.965   4.562 0 1
shush        0.965   4.562 0 1
shirt        0.591   1.544 0 1
shoe         0.722   3.202 0 1
shopping     0.896  -1.230 0 1
shorts       0.965   4.562 0 1
shoulder     0.527  -2.047 0 1
shovel       0.965   4.562 0 1
show         0.835  -3.276 0 1
shower       1.745  -0.543 0 1
sick         0.506   2.779 0 1
sidewalk     0.965   4.562 0 1
sing         1.940  -1.684 0 1
sink         0.813   2.969 0 1
sister       0.773  -1.262 0 1
sit          0.555  -3.547 0 1
skate        0.965   4.562 0 1
sky          0.970  -1.826 0 1
sled         0.965   4.562 0 1
sleep        1.243  -3.120 0 1
sleepy       0.965   4.562 0 1
slipper      0.965   4.562 0 1
slow         1.024   1.694 0 1
smile        0.820  -0.645 0 1
snack        0.965   4.562 0 1
sneaker      0.965   4.562 0 1
snow         1.575   0.418 0 1
snowman      0.965   4.562 0 1
snowsuit     0.965   4.562 0 1
soap         0.965   4.562 0 1
sock         0.965   4.562 0 1
soda         0.965   4.562 0 1
sofa         0.653   3.419 0 1
soft         0.965   4.562 0 1
some         1.156  -4.816 0 1
soup         0.947   2.702 0 1
spaghetti    0.484   2.885 0 1
spill        0.722   3.202 0 1
splash       0.947   2.702 0 1
spoon        0.965   4.562 0 1
sprinkler    0.965   4.562 0 1
squirrel     0.965   4.562 0 1
stairs       1.336  -2.382 0 1
stand        0.870  -0.641 0 1
star         0.520   3.996 0 1
stay         1.627  -3.946 0 1
stick        0.853   1.892 0 1
sticky       0.965   4.562 0 1
stone        0.475   4.272 0 1
stop         1.292  -2.391 0 1
store        0.655   2.274 0 1
story        0.678  -2.648 0 1
stove        0.756   1.266 0 1
strawberry   0.965   4.562 0 1
street       0.864  -2.534 0 1
stroller     0.965   4.562 0 1
stuck        0.466   2.977 0 1
sun          0.488   0.171 0 1
sweater      0.965   4.562 0 1
sweep        0.965   4.562 0 1
swim         0.790   1.225 0 1
table        1.000  -1.816 0 1
take         0.967  -5.714 0 1
talk         0.730  -4.142 0 1
tape         0.475   4.272 0 1
